Vendor Name	Zattoo Europe Ltd.
Start Date	02/27/2022
End Date	03/26/2022
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
03/16/2022	03/16/2022	1243062087	freetrial.de.zattoo.ios.de.auto.10	freetrial.de.zattoo.ios.de.auto_200_30		IAY	AT	1	7.08	7.08	EUR	9.990	EUR	S				
03/03/2022	03/03/2022	1243062087	freetrial.de.zattoo.ios.de.auto.10	freetrial.de.zattoo.ios.de.auto_200_30		IAY	AT	2	7.08	14.16	EUR	9.990	EUR	S				
03/05/2022	03/05/2022	1243062087	freetrial.de.zattoo.ios.de.auto.10	freetrial.de.zattoo.ios.de.auto_200_30		IAY	AT	-1	6.63	-6.63	EUR	-9.360	EUR	R				
03/06/2022	03/06/2022	1243062087	freetrial.de.zattoo.ios.de.auto.10	freetrial.de.zattoo.ios.de.auto_200_30		IAY	AT	1	7.08	7.08	EUR	9.990	EUR	S				
03/23/2022	03/23/2022	1243062087	freetrial.de.zattoo.ios.de.auto.10	freetrial.de.zattoo.ios.de.auto_200_30		IAY	AT	1	7.08	7.08	EUR	9.990	EUR	S				
03/09/2022	03/10/2022	1243062087	freetrial.de.zattoo.ios.de.auto.10	freetrial.de.zattoo.ios.de.auto_200_30		IAY	AT	1	7.08	7.08	EUR	9.990	EUR	S				
03/05/2022	03/05/2022	1497499441	freetrial.de.zattoo.ios.de.auto.ult.10	freetrial.de.zattoo.ios.de.auto_ult_1399_30		IAY	AT	1	9.91	9.91	EUR	13.990	EUR	S				
03/01/2022	03/01/2022	1497499441	freetrial.de.zattoo.ios.de.auto.ult.10	freetrial.de.zattoo.ios.de.auto_ult_1399_30		IAY	AT	1	9.91	9.91	EUR	13.990	EUR	S				
03/17/2022	03/17/2022	1497499441	freetrial.de.zattoo.ios.de.auto.ult.10	freetrial.de.zattoo.ios.de.auto_ult_1399_30		IAY	AT	1	9.91	9.91	EUR	13.990	EUR	S				
03/08/2022	03/09/2022	1497499441	freetrial.de.zattoo.ios.de.auto.ult.10	freetrial.de.zattoo.ios.de.auto_ult_1399_30		IAY	AT	1	9.91	9.91	EUR	13.990	EUR	S				
02/28/2022	02/28/2022	1497499441	freetrial.de.zattoo.ios.de.auto.ult.10	freetrial.de.zattoo.ios.de.auto_ult_1399_30		IAY	AT	1	9.91	9.91	EUR	13.990	EUR	S				
03/05/2022	03/06/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	3	8.49	25.47	EUR	11.990	EUR	S				
03/13/2022	03/13/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	9	8.49	76.41	EUR	11.990	EUR	S				
03/01/2022	03/01/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	5	8.49	42.45	EUR	11.990	EUR	S				
03/15/2022	03/15/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	6	8.49	50.94	EUR	11.990	EUR	S				
03/22/2022	03/23/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	1	8.49	8.49	EUR	11.990	EUR	S				
03/22/2022	03/22/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	3	8.49	25.47	EUR	11.990	EUR	S				
03/07/2022	03/07/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	4	8.49	33.96	EUR	11.990	EUR	S				
03/16/2022	03/16/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	3	8.49	25.47	EUR	11.990	EUR	S				
03/08/2022	03/08/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	2	8.49	16.98	EUR	11.990	EUR	S				
03/09/2022	03/09/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	2	8.49	16.98	EUR	11.990	EUR	S				
03/21/2022	03/22/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	3	8.49	25.47	EUR	11.990	EUR	S				
03/25/2022	03/25/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	1	8.49	8.49	EUR	11.990	EUR	S				
03/16/2022	03/17/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	2	8.49	16.98	EUR	11.990	EUR	S				
03/01/2022	03/02/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	3	8.49	25.47	EUR	11.990	EUR	S				
03/02/2022	03/03/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	1	8.49	8.49	EUR	11.990	EUR	S				
03/24/2022	03/24/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	5	8.49	42.45	EUR	11.990	EUR	S				
03/24/2022	03/25/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	2	8.49	16.98	EUR	11.990	EUR	S				
02/27/2022	02/27/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	1	8.49	8.49	EUR	11.990	EUR	S				
03/22/2022	03/22/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	-1	8.49	-8.49	EUR	-11.990	EUR	R				
03/02/2022	03/02/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	5	8.49	42.45	EUR	11.990	EUR	S				
03/25/2022	03/26/2022	1532193042	freetrial.at.zattoo.ios.at.auto.10	freetrial.at.zattoo.ios.at.auto_1199_30		IAY	AT	3	8.49	25.47	EUR	11.990	EUR	S				
