revenue_month_date,total_revenue_net_CHF
,
2021-03-01,135340.24091854415
2021-04-01,153129.8213064847
2021-05-01,26607.88624904641
2021-06-01,24417.93129297929
2021-07-01,24793.100259278985
2021-08-01,24827.402448135836
2021-09-01,24040.53095062097
2021-10-01,24852.66200768383
2021-11-01,24073.29554179219
2021-12-01,24884.116994056163
2022-01-01,24908.773292465547
2022-02-01,22523.06653925233
2022-03-01,13894.818890766199
2022-04-01,628.5421455063906
2022-05-01,168.34863083550235
2022-06-01,112.63832442881714
2022-07-01,108.07190587089212
2022-08-01,84.93538517740537
2022-09-01,73.06269692680031
2022-10-01,69.71398998432198
2022-11-01,63.016576099365274
2022-12-01,52.36159946420691
2023-01-01,40.79333911746352
2023-02-01,32.269357809336796
2023-03-01,17.96124632783841
2023-04-01,6.39298598109503
