transaction_id,transaction_date,term_end,reporting_month,country_name,country_code,currency,sku,subscription_status,type_of_transaction,payment_method,product_class,product_group_finance,product_length,product_length_months,product_term_length,domestic_abroad,vat_percentage,exchange_rate_eur_to_chf,store_fees_eur,store_fees_chf,store_fees_percentage,units,charge_eur,sales_price_eur,fee_eur,vat_eur,new_booking_net_eur,renewal_booking_net_eur,payout_eur,total_revenue_net_eur,charge_chf,sales_price_chf,fee_chf,vat_chf,new_booking_net_chf,renewal_booking_net_chf,payout_chf,total_revenue_net_chf,revenue_month_number,revenue_month_date,active_sub_month_end,active_sub_content,Price per Unit
,2022-03-01 00:00:01 UTC,2022-04-27 01:42:32 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,3M HiQ,92,3,,domestic,7.7,1.022199550,0,0,0,15,,,,,,,,,,,,,,,,,1,2022-03-01 00:00:00 UTC,15,15,30.64
,2022-03-01 00:00:01 UTC,2022-04-27 01:42:32 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,3M HiQ,92,3,,domestic,0.0,1.022199550,0,0,0,,,,,,,,,,,,,,,,,,2,2022-04-01 00:00:00 UTC,15,15,30.64
,2022-03-01 00:00:01 UTC,2022-04-04 12:48:58 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,3M HiQ,92,3,,domestic,0.0,1.022199550,0,0,0,,,,,,,,,,,,,,,,,,3,2022-03-01 00:00:00 UTC,15,15,30.64
,2022-03-01 00:00:01 UTC,2022-04-04 12:48:58 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,6M HiQ,183,6,,domestic,7.7,1.022199550,0,0,0,5,,,,,,,,,,,,,,,,,1,2022-04-01 00:00:00 UTC,5,5,58.50
,2022-03-01 00:00:01 UTC,2022-04-21 12:06:36 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,6M HiQ,183,6,,domestic,0.0,1.022199550,0,0,0,,,,,,,,,,,,,,,,,,2,2022-03-01 00:00:00 UTC,5,5,58.50
,2022-03-01 00:00:01 UTC,2022-04-21 12:06:36 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,6M HiQ,183,6,,domestic,0.0,1.022199550,0,0,0,,,,,,,,,,,,,,,,,,3,2022-04-01 00:00:00 UTC,5,5,58.50
,2022-03-01 00:00:01 UTC,2022-04-06 11:36:56 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,6M HiQ,183,6,,domestic,0.0,1.022199550,0,0,0,,,,,,,,,,,,,,,,,,4,2022-03-01 00:00:00 UTC,5,5,58.50
,2022-03-01 00:00:01 UTC,2022-04-06 11:36:56 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,6M HiQ,183,6,,domestic,0.0,1.022199550,0,0,0,,,,,,,,,,,,,,,,,,5,2022-04-01 00:00:00 UTC,5,5,58.50
,2022-03-01 00:00:01 UTC,2022-04-26 11:44:17 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,SweePay,premium,6M HiQ,183,6,,domestic,0.0,1.022199550,0,0,0,,,,,,,,,,,,,,,,,,6,2022-03-01 00:00:00 UTC,5,5,58.50
,2022-03-01 00:00:01 UTC,2022-04-26 11:44:17 UTC,2022-03,Switzerland,CH,CHF,,paid,Charge,Sky,premium,Premium Bundle,31,1,,domestic,0.0,1.022199550,0,0,0,778,,,,,,,,,,,,,,,,,1,2022-04-01 00:00:00 UTC,778,778,7.00
